Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2015-01-01,25,31,20,22,7.41,33.34,,E,7,10,,,1008.81,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-02,25,31,19,21,11.11,27.78,,E,9,10,,,1010.5,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-03,24,31,19,21,0,22.22,,E,7,10,,,1009.82,1014.9,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-04,23,32,17,22,0,14.82,,E,8,10,,,1009.48,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-05,24,31,21,23,0,14.82,,W,7,9,,,1008.81,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-06,25,29,21,23,0,24.08,,E,7,9,,,1007.79,1011.85,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-07,24,31,22,23,0,24.08,,E,5,10,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-08,24,30,21,24,0,18.52,,E,8,10,,,1009.48,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-09,26,31,19,22,3.7,27.78,38.89,E,8,100,,,1009.48,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-10,24,32,20,23,0,31.48,,E,5,10,,,1008.81,1012.53,FEW,mostly clear,BKN,mostly cloudy,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-11,25,32,20,23,0,25.93,,E,8,10,,,1008.13,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-12,26,32,20,22,0,29.63,,E,9,10,,,1008.13,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-13,25,32,21,22,7.41,29.63,,E,8,9,,,1008.13,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-14,25,31,21,22,0,27.78,,E,8,10,,,1009.82,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-15,24,32,20,22,1.85,27.78,,E,7,10,,,1009.82,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-16,25,31,20,23,7.41,25.93,,E,7,10,,,1009.82,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-17,24,31,18,22,0,24.08,,E,7,8,,,1010.5,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-18,24,31,17,21,0,29.63,,E,7,10,,,986.46,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-19,24,31,18,24,0,22.22,,E,8,10,,,1010.5,1015.24,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-20,24,32,19,22,0,24.08,,E,7,10,,,1011.85,1015.58,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-21,23,31,18,29,0,20.37,,E,7,8,,,675.92,1017.95,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-22,25,31,19,22,0,24.08,,E,8,8,,,992.21,1017.61,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-23,22,32,18,22,0,25.93,,E,7,10,,,1010.5,1015.24,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-24,22,31,16,22,0,22.22,,E,7,10,,,1011.51,1015.92,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-25,22,32,14,21,0,25.93,,E,9,10,,,1011.51,1015.58,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-26,24,32,19,22,0,22.22,,E,7,9,,,1010.84,1014.9,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-27,24,33,17,23,0,18.52,,E,7,7,,,1009.82,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-28,23,31,18,22,0,22.22,,E,5,10,,,1008.81,1012.87,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-29,22,32,18,22,0,24.08,,E,7,10,,,1009.48,1013.88,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-30,23,33,19,23,0,20.37,,E,9,10,,,1010.16,2990,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-31,24,33,19,23,0,24.08,,E,7,9,,,1010.5,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-01,24,32,17,21,3.7,29.63,,E,7,8,,,1009.82,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-02,22,32,15,20,0,27.78,33.34,E,7,10,,,1011.18,1016.59,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-03,22,33,15,21,0,27.78,,E,9,10,,,1012.19,1016.59,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-04,22,32,17,22,0,20.37,,E,9,10,,,1011.51,2994,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-05,24,32,19,22,0,22.22,,E,7,9,,,1010.5,1015.58,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-06,25,32,18,21,0,33.34,,E,7,8,,,1009.82,1015.24,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-07,24,32,16,21,0,35.19,,E,8,10,,,1009.48,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-08,24,32,16,20,11.11,33.34,,E,9,10,,,1009.14,1014.22,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-09,24,33,15,19,5.56,29.63,,E,9,10,,,1009.82,1015.24,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-10,24,32,17,21,1.85,22.22,,E,7,9,,,1010.5,1015.58,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-11,23,33,15,22,0,25.93,,E,7,7,,,1009.14,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-12,22,33,17,22,0,27.78,,E,5,10,,,1008.47,1014.56,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-13,24,32,16,21,0,24.08,,E,7,10,,,1009.14,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-14,23,32,18,22,0,18.52,,W,8,10,,,1009.14,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-15,23,32,18,22,0,22.22,,E,7,8,,,1008.47,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-16,25,31,18,21,0,22.22,,E,5,8,,,1009.14,1013.21,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-17,24,32,20,23,0,22.22,,E,8,10,,,1008.47,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-18,23,31,19,23,0,25.93,,E,7,8,,,1009.48,1014.22,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-19,23,32,19,31,0,18.52,,E,5,10,,,1009.48,1014.9,FEW,mostly clear,BKN,mostly cloudy,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-20,24,33,19,24,0,31.48,,E,8,10,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-21,23,33,20,24,0,24.08,,E,9,10,,,1008.13,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-22,24,33,15,22,0,25.93,,E,9,10,,,1009.82,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-23,23,32,21,23,0,22.22,,W,9,10,,,1010.84,1014.56,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-24,23,32,16,22,1.85,24.08,,W,9,10,,,1009.48,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-25,23,33,17,23,0,22.22,,W,10,10,,,1008.47,1012.87,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-26,24,32,21,23,0,20.37,,W,10,10,,,1008.47,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-27,23,32,19,22,0,22.22,,W,9,10,,,1008.47,1012.19,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-02-28,23,32,18,22,0,22.22,,E,10,10,,,1007.79,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-01,23,34,19,24,0,20.37,,E,10,10,,,1008.47,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-02,22,33,18,23,0,24.08,,W,10,10,,,1009.48,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-03,23,33,16,23,0,22.22,,W,10,10,,,1008.47,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-04,24,32,22,24,0,25.93,,W,8,10,,,705.38,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-05,24,32,22,24,0,25.93,44.45,W,7,8,,,1009.82,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-06,25,33,20,24,0,22.22,,W,7,8,,,1008.81,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-07,24,33,20,24,0,24.08,,W,7,10,,,1008.81,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-08,25,34,19,23,0,22.22,,E,8,10,,,1009.14,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-09,24,34,14,23,0,22.22,29.63,W,8,10,,,1011.18,1014.9,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,TSRA,thunderstorm with rain,-RA,light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-10,25,34,19,24,0,29.63,,E,8,10,,,1010.16,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-11,23,34,16,23,0,22.22,,E,7,10,,,1010.5,1015.58,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-12,22,34,13,22,0,24.08,,E,10,10,,,1009.14,1015.58,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-13,24,33,17,22,0,27.78,,E,7,10,,,1010.84,1015.58,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-14,23,34,17,22,0,24.08,25.93,E,8,10,,,1012.53,1016.26,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-15,21,34,14,22,0,18.52,,E,8,10,,,1011.51,1016.59,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-16,24,33,19,23,0,27.78,,W,7,10,,,1010.84,1015.92,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-17,24,33,18,24,0,22.22,,W,8,10,,,1009.14,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-18,24,32,22,24,0,24.08,,W,7,9,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-19,25,32,21,24,0,24.08,,W,5,9,,,1008.81,1013.21,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-20,27,32,22,24,5.56,22.22,,W,4,7,,,1009.48,1013.21,FEW,mostly clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-21,25,32,22,24,1.85,25.93,,W,4,7,,,1010.16,1014.22,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-22,25,33,20,24,0,24.08,,W,4,8,,,1009.14,1014.56,FEW,mostly clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-23,24,34,19,24,0,20.37,,E,5,7,,,1009.14,1012.87,FEW,mostly clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-24,24,35,17,24,0,24.08,,E,5,8,,,1008.13,1013.21,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-25,24,35,18,24,0,27.78,,E,8,10,,,1008.81,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-26,26,35,18,23,3.7,22.22,,E,10,10,,,1009.82,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-27,26,36,17,23,0,31.48,,E,10,10,,,1009.14,1014.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-28,26,35,18,24,0,24.08,38.89,E,8,10,,,1008.13,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-29,25,35,18,23,0,22.22,,E,9,10,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-30,26,35,20,26,0,22.22,46.3,E,7,10,,,1007.45,1012.87,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-03-31,26,34,18,24,0,22.22,,E,8,10,,,1008.47,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-01,25,33,12,25,0,24.08,,W,8,10,,,705.72,1012.87,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,-TSRA,thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-02,24,32,21,25,0,24.08,,W,3,10,,,1007.11,1012.19,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,RA,rain,RERA,recent rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-03,25,34,21,24,0,27.78,,W,9,10,,,705.38,1010.5,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-04,26,33,22,24,1.85,31.48,,W,8,10,,,1005.42,1009.48,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-05,25,33,22,25,0,24.08,,W,9,10,,,1006.77,1010.5,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-06,26,33,22,25,0,22.22,,W,8,10,,,1006.77,1011.51,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-07,26,35,21,26,0,20.37,,W,9,10,,,1006.1,1010.5,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-08,25,35,17,26,0,25.93,,E,8,10,,,1007.45,1011.18,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-09,25,34,16,24,0,20.37,,E,10,10,,,1008.47,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-10,24,34,19,24,0,22.22,,E,7,10,,,1007.45,1012.53,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,-TSRA,thunderstorm with light rain,RERA,recent rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-11,24,34,19,25,0,31.48,57.41,E,1,9,,,1009.82,2986,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,TSRA,thunderstorm with rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-12,24,34,20,24,0,20.37,,E,3,10,,,1010,1014.9,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TSRA,thunderstorm with rain,-RA,light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-13,23,34,20,25,0,31.48,,NE,2,10,,,1008.81,1014.22,FEW,mostly clear,BKN,mostly cloudy,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-14,24,32,22,24,0,44.45,64.82,E,8,10,,,1008.81,1012.87,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,-TSRA,thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-15,25,32,21,23,0,27.78,,E,9,10,,,1009.14,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-16,26,34,21,24,0,24.08,,E,8,10,,,1008.13,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-17,25,33,21,24,0,20.37,,W,8,10,,,1007.45,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-18,25,34,22,24,0,18.52,33.34,W,3,10,,,1007.45,1012.87,FEW,mostly clear,BKN,mostly cloudy,TSRA,thunderstorm with rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-19,25,34,21,24,0,20.37,,W,9,10,,,1008.13,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-20,25,33,22,25,0,27.78,,W,10,10,,,1009.14,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-21,28,33,23,24,5.56,29.63,44.45,W,8,10,,,1007.79,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-22,27,33,23,25,0,27.78,44.45,W,8,10,,,1008.13,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-23,23,33,21,25,0,37.04,,E,2,9,,,1009.14,1013.55,FEW,mostly clear,BKN,mostly cloudy,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-24,23,32,21,24,0,24.08,,NE,4,10,,,1009.48,1013.55,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,TSRA,thunderstorm with rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-25,24,32,22,24,0,18.52,,E,7,10,,,1008.13,1013.55,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,-TSRA,thunderstorm with light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-26,25,33,22,24,0,16.67,,E,7,10,,,1008.13,1013.21,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-27,25,34,21,24,0,20.37,,E,8,10,,,1008.81,1013.55,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-28,25,33,22,24,0,25.93,,W,5,10,,,1008.13,1012.87,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,TSRA,thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-29,23,34,20,25,0,27.78,48.15,W,2,10,,,1008.47,1012.87,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,RERA,recent rain,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-04-30,24,32,21,25,0,24.08,,W,8,10,,,1009.14,1013.55,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-05-01,23,31,21,24,0,27.78,,W,3,10,,,986.46,1013.55,FEW,mostly clear,BKN,mostly cloudy,TSRA,thunderstorm with rain,RA,rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-05-02,27,32,22,24,0,22.22,,W,10,100,,,1008.13,1013.88,FEW,mostly clear,BKN,mostly cloudy,TSRA,thunderstorm with rain,RA,rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-05-03,26,32,23,24,0,25.93,,W,10,10,,,1008.47,1012.87,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-05-04,26,32,23,25,0,24.08,,W,10,10,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-05-05,27,32,22,24,3.7,27.78,,W,10,10,,,1007.45,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
