Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2017-10-03,24,28,22,25,0,18.52,,W,5,10,,,1008,1013,FEW,mostly clear,BKN,mostly cloudy,TSRA,thunderstorm with rain,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-04,25,30,22,26,0,24.08,31.48,W,1.5,8,,,1009,1012,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-05,24,31,21,25,0,16.67,,E,8,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-06,25,32,22,26,0,22.22,44.45,W,7,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-07,25,30,22,25,0,16.67,,W,5,10,,,1009,1013,FEW,mostly clear,BKN,mostly cloudy,RA,rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-08,25,30,23,25,0,22.22,,W,7,9,,,1007,1011,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,VCTS,thunderstorm in the vicinity,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-09,25,31,23,25,3.7,20.37,,W,8,10,,,1005,1010,FEW,mostly clear,SCT,partly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-10,25,31,22,24,0,20.37,,W,8,10,,,1005,1009,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-11,24,31,23,25,0,24.08,,W,5,10,,,1007,1011,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-12,24,28,23,25,0,33.34,46.3,W,1,10,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,RETSRA,recent thunderstorm with rain,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,
VTSP,Asia/Bangkok,2017-10-13,24,29,22,25,0,50,55.56,W,2,8,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-14,23,28,21,25,0,27.78,,W,1,8,,,1008,1011,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-15,24,31,22,24,0,25.93,,W,7,8,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-16,25,32,22,24,0,29.63,,W,8,10,,,1009,1012,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-17,24,34,19,24,0,18.52,,NE,10,10,,,1008,1012,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-18,24,32,19,25,0,16.67,,W,8,10,,,1009,1013,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-19,23,32,20,23,0,18.52,,W,8,10,,,1010,1015,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-20,25,32,21,24,3.7,20.37,40.74,W,9,10,,,1011,1015,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-21,27,31,23,24,11.11,24.08,,W,8,10,,,1011,1015,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-22,27,31,22,23,9.26,24.08,40.74,W,8,10,,,1010,1014,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-23,24,31,22,24,0,24.08,,W,9,10,,,1010,1014,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-24,24,31,22,25,0,20.37,,W,2,10,,,1011,1015,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-25,24,32,22,24,0,18.52,,W,8,10,,,1011,1016,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-26,25,32,22,25,0,18.52,,W,5,10,,,1009,1015,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-27,24,31,22,24,0,22.22,,W,7,10,,,1009,1014,FEW,mostly clear,BKN,mostly cloudy,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-28,24,32,21,24,0,20.37,,E,8,10,,,1009,1013,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-29,25,32,21,24,0,18.52,,E,3,10,,,1008,1013,FEW,mostly clear,BKN,mostly cloudy,RETSRA,recent thunderstorm with rain,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RERA,recent rain,-RA,light rain,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-30,24,32,22,24,0,18.52,,E,3,10,,,1006,1013,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,TSRA,thunderstorm with rain,RERA,recent rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-10-31,23,32,21,24,0,20.37,,E,3,10,,,1006,1013,FEW,mostly clear,BKN,mostly cloudy,RA,rain,RERA,recent rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-01,25,31,21,23,0,18.52,,NE,7,8,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-02,24,31,22,24,0,22.22,33.34,E,2,10,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-03,25,31,21,23,0,16.67,,E,7,10,,,1005,1997,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
